MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
electricity, from wave energy, 7MW | Scenario: 2050, very optimistic, Renew
electricity, from wave energy, 7MW | Scenario: Today
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2025, pessimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2025, pessimistic, BAU
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2025, realistic-optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2025, very optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2025, very optimistic, Renew
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2050, pessimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2050, pessimistic, BAU
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2050, realistic-optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2050, very optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 200km & 2500m depleted gasfield | Scenario: 2050, very optimistic, Renew
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2025, pessimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2025, pessimistic, BAU
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2025, realistic-optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2025, very optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2025, very optimistic, Renew
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2050, pessimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2050, pessimistic, BAU
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2050, realistic-optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2050, very optimistic, 440ppm
electricity, hard coal IGCC plant 400MW, CCS, 400km & 2500m depleted gasfield | Scenario: 2050, very optimistic, Renew
electricity, hard coal IGCC power plant 400MW, CCS, 200km & 800m aquifer | Scenario: 2025, pessimistic, 440ppm
electricity, hard coal IGCC power plant 400MW, CCS, 200km & 800m aquifer | Scenario: 2025, pessimistic, BAU
